WARNING: ./src/Instruction_memory.v:19: $readmemh(src/program16.mem): Not enough words in the file for the requested range [0:255].
VCD info: dumpfile ./tb/waveform/top.vcd opened for output.

=== Reset released, starting trace ===

555000 | PC=0064 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
565000 | PC=0066 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
575000 | PC=0068 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
585000 | PC=006a | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
595000 | PC=006c | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
605000 | PC=006e | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
615000 | PC=0070 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
625000 | PC=0072 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
635000 | PC=0074 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
645000 | PC=0076 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
655000 | PC=0078 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
665000 | PC=007a | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
675000 | PC=007c | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
685000 | PC=007e | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
695000 | PC=0080 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
705000 | PC=0082 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
715000 | PC=0084 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
725000 | PC=0086 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
735000 | PC=0088 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
745000 | PC=008a | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
755000 | PC=008c | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
765000 | PC=008e | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
775000 | PC=0090 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
785000 | PC=0092 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
795000 | PC=0094 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
805000 | PC=0096 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
815000 | PC=0098 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
825000 | PC=009a | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
835000 | PC=009c | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
845000 | PC=009e | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
855000 | PC=00a0 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
865000 | PC=00a2 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
875000 | PC=00a4 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
885000 | PC=00a6 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
895000 | PC=00a8 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
905000 | PC=00aa | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
915000 | PC=00ac | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
925000 | PC=00ae | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
935000 | PC=00b0 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
945000 | PC=00b2 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
955000 | PC=00b4 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
965000 | PC=00b6 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
975000 | PC=00b8 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
985000 | PC=00ba | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
995000 | PC=00bc | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
1005000 | PC=00be | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
1015000 | PC=00c0 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
1025000 | PC=00c2 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff

=== Simulation complete ===
./tb/top_tb.v:90: $finish called at 1035000 (1ps)
1035000 | PC=00c4 | INSTR=0000 | ALU=0000 | x0=0000 x1=0001 x2=0002 x3=0003 x4=fffc x5=fffd x6=fffe x7=ffff
