net,length_um
_169_,4.22µm
net106,4.2µm
net83,4.14µm
_075_,4.125µm
_257_,4.12µm
net119,4.12µm
net96,4.1µm
_187_,4.08µm
_064_,4.045µm
memory\[1\]\[11\],4µm
_071_,3.925µm
_151_,3.88µm
net97,3.88µm
_079_,3.805µm
_081_,3.805µm
_090_,3.805µm
_097_,3.805µm
_102_,3.805µm
net108,3.78µm
net125,3.78µm
net157,3.78µm
net200,3.78µm
_002_,3.705µm
_068_,3.705µm
_194_,3.68µm
net196,3.68µm
_005_,3.585µm
_007_,3.585µm
_057_,3.585µm
_083_,3.515µm
_073_,3.505µm
_011_,3.465µm
_019_,3.465µm
_044_,3.465µm
_045_,3.465µm
_077_,3.465µm
_080_,3.465µm
_212_,3.42µm
_219_,3.42µm
_258_,3.42µm
net98,3.42µm
net133,3.42µm
_034_,3.345µm
_038_,3.345µm
_108_,3.32µm
net110,3.32µm
net132,3.32µm
net146,3.32µm
_134_,3.3µm
_021_,3.245µm
net105,3.22µm
net158,3.22µm
_232_,3.2µm
net117,3.2µm
_121_,3.145µm
_220_,3.08µm
net183,3.08µm
net193,3.08µm
_069_,3.045µm
_085_,3.045µm
_089_,3.005µm
_093_,3.005µm
_205_,2.98µm
_236_,2.96µm
_119_,2.885µm
_032_,2.86µm
net101,2.86µm
net127,2.86µm
net164,2.86µm
net185,2.86µm
net197,2.86µm
net181,2.84µm
_009_,2.785µm
_040_,2.785µm
_041_,2.785µm
_088_,2.785µm
_100_,2.785µm
_113_,2.785µm
_117_,2.785µm
_120_,2.785µm
_171_,2.76µm
net174,2.76µm
net203,2.76µm
_014_,2.715µm
_084_,2.705µm
_131_,2.62µm
_155_,2.62µm
_105_,2.595µm
_098_,2.545µm
_244_,2.52µm
net112,2.5µm
net155,2.5µm
net85,2.4µm
net89,2.4µm
net134,2.4µm
net178,2.4µm
_046_,2.375µm
_055_,2.375µm
net81,2.3µm
net84,2.3µm
net88,2.3µm
net103,2.3µm
net104,2.3µm
net109,2.3µm
net113,2.3µm
net118,2.3µm
net124,2.3µm
net130,2.3µm
net140,2.3µm
net141,2.3µm
net143,2.3µm
net149,2.3µm
net156,2.3µm
net159,2.3µm
net166,2.3µm
net168,2.3µm
net169,2.3µm
net177,2.3µm
net187,2.3µm
net195,2.3µm
_215_,2.28µm
_031_,2.255µm
_245_,2.16µm
_061_,2.025µm
_114_,2.025µm
net92,1.94µm
net129,1.94µm
net162,1.94µm
net170,1.94µm
_082_,1.915µm
_092_,1.865µm
_116_,1.865µm
_127_,1.865µm
_178_,1.84µm
net191,1.84µm
_140_,1.72µm
_150_,1.7µm
_242_,1.7µm
_252_,1.7µm
net95,1.48µm
net182,1.48µm
net189,1.48µm
net205,1.48µm
_249_,1.38µm
_138_,1.14µm
_152_,1.14µm
net198,1.02µm
_156_,0.92µm
